,Total Distance,Total Temps,Total Kcal,Moyenne Km/h,,,
,"244,05",24:27:12,15000,"10,02",,,
Date,Km,Temps,kcal,Km/h,Commentaires ,,
07/01/2026,"3,51",0:20:11,214,"10,43",,,01:00:00
09/01/2026,"5,28",0:29:54,309,"10,60",,,01:00:00
10/01/2026,"2,66",0:15:00,171,"10,64",,,01:00:00
21/01/2026,"1,54",0:10:12,101,"9,06",,,01:00:00
23/01/2026,5,00:27:41,328,"10,84",,,01:00:00
26/01/2026,10,0:55:25,598,"10,83",,,01:00:00
31/01/2026,"6,6",0:42:29,393,"9,32",,,01:00:00
02/02/2026,"4,5",0:24:04,277,"11,22",,,01:00:00
03/02/2026,5,0:27:28,295,"10,92",,,01:00:00
05/02/2026,5,0:29:03,342,"10,33",,,01:00:00
06/02/2026,"4,9",0:27:03,272,"10,87",,,01:00:00
09/02/2026,"6,23",0:31:29,297,"11,87",,,01:00:00
17/02/2026,"4,08",00:24:44,224,"9,90",,,01:00:00
19/02/2026,"6,31",0:40:13,388,"9,41",,,01:00:00
21/02/2026,"11,5",1:02:32,765,"11,03",,,01:00:00
25/02/2026,"3,76",0:24:51,252,"9,08",,,01:00:00
28/02/2026,"7,65",0:47:00,441,"9,77",,,01:00:00
02/03/2026,13,1:10:24,834,"11,08",,,01:00:00
05/03/2026,"3,37",0:22:51,255,"8,85",,,01:00:00
06/03/2026,"5,09",0:33:33,360,"9,10",,,01:00:00
07/03/2026,"6,86",0:44:03,371,"9,34",,,01:00:00
08/03/2026,"4,9",0:27:30,281,"10,69",,,01:00:00
12/03/2026,"8,38",0:56:54,493,"8,84",,,01:00:00
15/03/2026,10,1:00:17,585,"9,95",,,01:00:00
17/03/2026,"4,31",0:28:39,279,"9,03",,,01:00:00
19/03/2026,"10,23",1:09:16,538,"8,86",,,01:00:00
22/03/2026,"8,21",0:47:56,500,"10,28",,,01:00:00
23/03/2026,"3,24",0:21:23,186,"9,09",,,01:00:00
26/03/2026,"1,93",0:12:11,97,"9,50",,,01:00:00
28/03/2026,"6,16",0:35:23,387,"10,45",,,01:00:00
30/03/2026,"10,46",0:57:19,647,"10,95",,,01:00:00
02/04/2026,"11,26",1:14:49,563,"9,03",,,01:00:00
06/04/2026,"3,03",0:15:06,179,"12,04",,,01:00:00
07/04/2026,"7,19",0:40:32,502,"10,64",,,01:00:00
10/04/2026,"3,01",0:19:33,178,"9,24",,,01:00:00
14/04/2026,"1,35",0:13:44,75,"5,90",,,01:00:00
16/04/2026,"4,12",0:23:01,264,"10,74",,,01:00:00
19/04/2026,"21,43",2:18:21,1575,"9,29",,,01:00:00
23/04/2026,3,0:15:08,184,"11,89",,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
