,Total Distance,Total Temps,Total Kcal,Moyenne Km/h,,,
,"134,26",14:31:38,8574,"9,36",,,
Date,Km,Temps,kcal,Km/h,Commentaires ,,
14/08/2025,"3,4",0:21:18,238,"9,58","200m de marche à 6km/h, 3km de course à 10km/h puis 200m de marche à 6km/h. Reprise de l'entrainement après +1an sans course",,01:00:00
17/08/2025,"3,4",0:20:49,230,"9,80","Même principe que la dernière fois, avec une allure plus rapide pendant la phase de course. Cependant, moins de calories dépensées car durée plus courte, je devrais peut être augmenter la durée de course plotôt que la distance.",,01:00:00
19/08/2025,"3,55",0:22:36,240,"9,42","Aujourd'hui je suis monté à 3,15 km de course à 10/11 km/h, tout en gardant 200m d'échauffement et de récuperation. Je sens que mon cardio est bien meilleur et que je me rapproche de celui de j'avais avant. J'aimerais tenter un 10km ce dimanche.",,01:00:00
21/08/2025,"5,5",0:34:26,366,"9,58",,,01:00:00
24/08/2025,"5,72",00:37:16,401,"9,21",5 km de courses à 10 km/h. Cardio très compliqué,,01:00:00
28/08/2025,3,0:18:00,205,"10,00",,,01:00:00
03/09/2025,"2,88",0:17:44,215,"9,74",,,01:00:00
16/09/2025,"2,4",0:20:01,166,"7,19",,,01:00:00
18/09/2025,"3,74",0:41:32,276,"5,40",,,01:00:00
21/09/2025,"10,06",1:17:40,623,"7,77",,,01:00:00
22/09/2025,"2,26",0:14:41,169,"9,23",,,01:00:00
23/09/2025,"2,76",0:18:03,181,"9,17",,,01:00:00
24/09/2025,"4,25",00:30:02,299,"8,49",,,01:00:00
25/09/2025,"7,3",0:43:48,479,"10,00",,,01:00:00
29/09/2025,"7,43",0:46:28,450,"9,59",,,01:00:00
30/09/2025,"6,5",0:41:56,304,"9,30",,,01:00:00
01/10/2025,"4,88",0:33:31,319,"8,74",,,01:00:00
02/10/2025,"8,7",0:48:44,487,"10,71",,,01:00:00
03/10/2025,"3,01",0:16:28,152,"10,97",,,01:00:00
06/10/2025,"4,37",0:25:01,234,"10,48",,,01:00:00
21/10/2025,"4,07",0:30:51,296,"7,92",,,01:00:00
29/10/2025,5,0:30:24,341,"9,87",,,01:00:00
12/11/2025,"5,08",0:30:07,338,"10,12",,,01:00:00
13/11/2025,"5,5",0:29:48,326,"11,07",,,01:00:00
14/11/2025,"5,1",0:30:46,327,"9,95",,,01:00:00
24/11/2025,"5,4",0:32:51,332,"9,86",,,01:00:00
28/11/2025,5,0:30:46,324,"9,75",,,01:00:00
02/12/2025,4,0:26:01,256,"9,22",,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
,,,,,,,01:00:00
